method,n,m,time_sec
Vanilla,100,,0.001833200454711914
Vanilla,151,,0.0024051666259765625
Vanilla,231,,0.007776498794555664
Vanilla,351,,0.01581096649169922
Vanilla,533,,0.03873562812805176
Vanilla,811,,0.10359644889831543
Vanilla,1232,,0.33154892921447754
Vanilla,1873,,0.9392030239105225
Vanilla,2848,,3.2714486122131348
Vanilla,4328,,10.335150003433228
Vanilla,6579,,34.808695793151855
Vanilla,10000,,162.26932787895203
Nystrom,100,10,0.0003609657287597656
Nystrom,152,12,0.00015997886657714844
Nystrom,232,15,0.00017905235290527344
Nystrom,354,18,0.0003342628479003906
Nystrom,539,23,0.0004165172576904297
Nystrom,822,28,0.0009527206420898438
Nystrom,1253,35,0.0019440650939941406
Nystrom,1910,43,0.0035262107849121094
Nystrom,2911,53,0.009006023406982422
Nystrom,4436,66,0.015447854995727539
Nystrom,6761,82,0.02765965461730957
Nystrom,10305,101,0.04073071479797363
Nystrom,15706,125,0.10515546798706055
Nystrom,23937,154,0.16352462768554688
Nystrom,36482,191,0.2742288112640381
Nystrom,55602,235,0.44033002853393555
Nystrom,84742,291,0.7530336380004883
Nystrom,129154,359,1.4535765647888184
Nystrom,196840,443,3.354564905166626
Nystrom,300000,547,6.647145509719849
Falkon,100,10,0.011099576950073242
Falkon,152,12,0.012624740600585938
Falkon,232,15,0.018433094024658203
Falkon,354,18,0.018671274185180664
Falkon,539,23,0.02169966697692871
Falkon,822,28,0.0073451995849609375
Falkon,1253,35,0.007380008697509766
Falkon,1910,43,0.00973820686340332
Falkon,2911,53,0.01473546028137207
Falkon,4436,66,0.028261899948120117
Falkon,6761,82,0.18116164207458496
Falkon,10305,101,0.315814733505249
Falkon,15706,125,0.4580531120300293
Falkon,23937,154,0.9182381629943848
Falkon,36482,191,1.3853061199188232
Falkon,55602,235,1.2368218898773193
Falkon,84742,291,2.269181728363037
Falkon,129154,359,3.8556761741638184
Falkon,196840,443,8.653063535690308
Falkon,300000,547,20.2845139503479
