scaling,n,m,rel_fro_error
\sqrt{n},501,22,0.3868463190229253
\sqrt{n},768,27,0.28153189509145243
\sqrt{n},1178,34,0.2942403902225464
\sqrt{n},1807,42,0.25276659715704786
\sqrt{n},2772,52,0.285675839828245
\sqrt{n},4251,65,0.2199348603903983
\sqrt{n},6520,80,0.17142448593260246
\sqrt{n},10000,100,0.1648110931481407
n^{0.7},501,77,0.19589174998987166
n^{0.7},768,104,0.1624853612476816
n^{0.7},1178,141,0.13257194989389226
n^{0.7},1807,190,0.11663154931646075
n^{0.7},2772,257,0.07501745602100138
n^{0.7},4251,346,0.09318450727613295
n^{0.7},6520,467,0.11014960112796902
n^{0.7},10000,630,0.07674708289344184
n^{0.85},501,197,0.08730910710343973
n^{0.85},768,283,0.09390249948598714
n^{0.85},1178,407,0.05867714192959971
n^{0.85},1807,586,0.09612219035437615
n^{0.85},2772,844,0.0532948703119969
n^{0.85},4251,1213,0.04122612505250195
n^{0.85},6520,1746,0.02862721910646712
n^{0.85},10000,2511,0.03574582450534236
"0.1\,n",501,50,0.32058995565557075
"0.1\,n",768,76,0.15569885018846014
"0.1\,n",1178,117,0.14327033866020608
"0.1\,n",1807,180,0.11671982822641579
"0.1\,n",2772,277,0.0824799167519522
"0.1\,n",4251,425,0.09933249504499499
"0.1\,n",6520,652,0.07379798238841402
"0.1\,n",10000,1000,0.055344752754164124
